Key,File,Type,UsedInMainMenu,NoTranslate,english
DoughsR1000_zombieYoFeral,entityclasses,Entity,,,Aya the Aback Feral Yo
DoughsR1001_zombieTomClarkRadiated,entityclasses,Entity,,,Sammy the Condemned Radiated Tom Clark
DoughsR1002_zombieSteveFeral,entityclasses,Entity,,,Florence the Softly Slimy Feral Steve
DoughsR1003_zombieFatHawaiianRadiated,entityclasses,Entity,,,Alayah the Black Metal and Nasty
DoughsR1004_zombiePartyGirlRadiated,entityclasses,Entity,,,Hazel
DoughsR1005_zombieJoe,entityclasses,Entity,,,Luz the Screeching Joe
DoughsR1006_zombieMaleHazmatFeral,entityclasses,Entity,,,Callan the Wild Feral Hazmat
DoughsR1007_zombieMutatedFeral,entityclasses,Entity,,,Riven the Comfortable and Frugal
DoughsR1008_zombieWightFeral,entityclasses,Entity,,,Fabian the Maximally Violent Feral Wight
DoughsR1009_zombieMarleneFeral,entityclasses,Entity,,,Sebastian the Noisily Tart Feral Marlene
DoughsR100_zombieBurnt,entityclasses,Entity,,,Landyn the Stupid and Ominous
DoughsR1010_zombieArleneRadiated,entityclasses,Entity,,,Delmonico
DoughsR1011_zombieBoeRadiated,entityclasses,Entity,,,Phoenix the Witch-approved Radiated Boe
DoughsR1012_zombieLumberjack,entityclasses,Entity,,,Guadalupe the Demanding and Industrious
DoughsR1013_zombieScreamer,entityclasses,Entity,,,Memphis
DoughsR1014_zombieDarleneFeral,entityclasses,Entity,,,Ryleigh the Darling
DoughsR1015_zombieDarlene,entityclasses,Entity,,,Beauregard the Acrobatic
DoughsR1016_zombieBusinessMan,entityclasses,Entity,,,Giselle the Sentimental
DoughsR1017_zombieNurseFeral,entityclasses,Entity,,,Blue the Merrily Slightly Cruel
DoughsR1018_zombieFatHawaiian,entityclasses,Entity,,,Ariana the Cruel-hearted Tourist
DoughsR1019_zombieSpiderFeral,entityclasses,Entity,,,Rhett
DoughsR101_zombieWightRadiated,entityclasses,Entity,,,Jolene the Decorous
DoughsR1020_zombieMutated,entityclasses,Entity,,,Rumi
DoughsR1021_zombieMoeFeral,entityclasses,Entity,,,Devon the Really Lousy Feral Moe
DoughsR1022_zombieFemaleFatRadiated,entityclasses,Entity,,,Holden the Hypnotic Radiated Big Momma
DoughsR1023_zombieMarlene,entityclasses,Entity,,,Linda the Dimly Weird
DoughsR1024_zombieUtilityWorker,entityclasses,Entity,,,Celeste the Impish Utility Worker
DoughsR1025_zombieDarleneRadiated,entityclasses,Entity,,,Hayes the Intent Radiated Darlene
DoughsR1026_zombieSteve,entityclasses,Entity,,,Serendipity
DoughsR1027_zombieBurntRadiated,entityclasses,Entity,,,Ibrahim
DoughsR1028_zombieTomClarkFeral,entityclasses,Entity,,,Mabel the Scared and Scientific
DoughsR1029_zombieMutatedRadiated,entityclasses,Entity,,,Bubblegum the Especially Whiny Radiated Mutated
DoughsR102_zombieBusinessManRadiated,entityclasses,Entity,,,Dorian the Dearly Highly Promiscuous Radiated Businessman
DoughsR1030_zombieFemaleFat,entityclasses,Entity,,,Brody the Insane Big Momma
DoughsR1031_zombieJoeFeral,entityclasses,Entity,,,Ahmir the Strong
DoughsR1032_zombieBikerRadiated,entityclasses,Entity,,,Chandler the Condemned and Conventional
DoughsR1033_zombieMarleneRadiated,entityclasses,Entity,,,Ivy the Tasteless Radiated Marlene
DoughsR1034_zombieSteveCrawlerFeral,entityclasses,Entity,,,Talia the Psycho
DoughsR1035_zombieFatCopRadiated,entityclasses,Entity,,,Kye the Famously Idealistic
DoughsR1036_zombieSkateboarderFeral,entityclasses,Entity,,,Moxie the Hard Angry and Nauseous
DoughsR1037_zombieFemaleFatFeral,entityclasses,Entity,,,Houston the Lightly Backstabbing
DoughsR1038_zombieTomClark,entityclasses,Entity,,,Derringer
DoughsR1039_zombieBoeFeral,entityclasses,Entity,,,Stompie the Fussy
